Date,Close,Volume,Open,High,Low
2013-07-23,14.9639,354477618.0,15.2143,15.2486,14.9539
2013-07-24,15.7325,591624923.0,15.6761,15.8782,15.545
2013-07-25,15.6607,229432412.0,15.7393,15.7643,15.5646
2013-07-26,15.7496,200082264.0,15.5464,15.7514,15.5121
2013-07-29,15.9925,248025441.0,15.7429,16.0711,15.7214
2013-07-30,16.19,308960556.0,16.07,16.3268,16.0439
2013-07-31,16.1618,322499391.0,16.2496,16.3337,16.0511
2013-08-01,16.3099,205544138.0,16.2769,16.3143,16.1879
2013-08-02,16.5193,273644955.0,16.3575,16.5304,16.3093
2013-08-05,16.7661,318310593.0,16.5961,16.8096,16.5054
2013-08-06,16.6161,334812106.0,16.715,16.8532,16.5061
2013-08-07,16.6064,298488841.0,16.5643,16.6786,16.4918
2013-08-08,16.4646,255758982.0,16.5663,16.575,16.3554
2013-08-09,16.2304,266575573.0,16.38,16.445,16.2018
2013-08-12,16.6914,363936574.0,16.3164,16.7375,16.3082
2013-08-13,17.4846,877803009.0,16.8193,17.6664,16.7161
2013-08-14,17.8036,753707619.0,17.7814,18.0089,17.6214
2013-08-15,17.7825,489547324.0,17.7293,17.9428,17.4673
2013-08-16,17.9404,361257815.0,17.8625,17.9622,17.8164
2013-08-19,18.1336,509606516.0,18.0122,18.3479,18.0
2013-08-20,17.8954,358034457.0,18.2039,18.2347,17.8864
2013-08-21,17.9414,335131866.0,17.9854,18.1125,17.9
2013-08-22,17.9629,243465727.0,18.035,18.0568,17.7929
2013-08-23,17.8936,222238907.0,17.9739,17.9768,17.8339
2013-08-26,17.9632,329417348.0,17.8839,18.2214,17.875
2013-08-27,17.4496,423386991.0,17.7857,17.9468,17.3679
2013-08-28,17.532,306986837.0,17.3571,17.7071,17.3571
2013-08-29,17.5607,239216868.0,17.5589,17.7321,17.5404
2013-08-30,17.4006,272214407.0,17.5714,17.6054,17.375
2013-09-03,17.4493,331867627.0,17.6107,17.8786,17.4054
2013-09-04,17.8104,344063862.0,17.8414,17.9372,17.7243
2013-09-05,17.6882,235116802.0,17.8661,17.8814,17.63
2013-09-06,17.7936,357928337.0,17.8014,17.835,17.4982
